Number,Bank Name,Country,Region,Latitude,Longitude,Reserves,Debts
1,People's Bank of China,China,Beijing,39.7431699,116.3905867,3427931000000.39,13000000000000
2,Bank of Japan,Japan,Tokyo,35.5664783,139.5739671,1405748000000.99,4770000000000
3,Schweizerische Nationalbank,Switzerland,Bern,46.8590494,5.5158505,1109821000000.66,1820000000000
4,The Federal Reserve,United States,Washington,38.8975222,-77.0475292,716152000000.26,30400000000000
5,Central Bank of India,India,Mumbai,19.0461173,72.7848295,638484000000.78,614900000000
6,Central Bank of the Russian Federation,Russian Federation,Moscow,48.1946375,37.5361965,632241000000.82,489000000000
7,Hong Kong Monetary Authority,Hong Kong,8 Finance St,22.285365,114.1548633,496867000000.13,0
8,Saudi Central Bank,Saudi Arabia,Riyadh,24.6437548,46.7095983,473889000000.60,201000000000
9,Bank of Korea,South Korea,Seoul,37.5623791,126.9579959,463281000000.31,407000000000
10,Monetary Authority of Singapore,Singapore,10 Shenton Way,1.2747249,103.8423323,425097000000.84,1670000000000
11,Central Bank of Brazil,Brazil,Brasilia,-17.3190722,-57.9333581,362210000000.08,556000000000
12,Deutsche Bundesbank,Germany,Frankfurt am main,50.1234682,8.6478921,295736000000.22,5740000000000
13,Bank of Thailand,Thailand,Bangkok,13.7601244,100.4748844,246025000000.24,149000000000
14,Banque de France,France,Paris,48.8445939,2.1996393,244280000000.33,7320000000000
15,Banca d'Italia,Italy,Rome,41.8978145,12.4868138,227478000000.33,2510000000000
16,Bank of Israel,Israel,Jerusalem,31.7779218,35.1807129,212933000000.66,89400000000
17,Banco de M̩xico,Mexico,Mexico City,19.4350373,-99.1882844,207799000000.49,437000000000
18,Bank of England,United Kingdom,London,51.513932,-0.0928428,194181000000.40,9020000000000
19,Czech National Bank,Czech Republic,Prague,50.0864958,14.4263119,173617000000.58,138000000000
20,Narodowy Bank Polski,Poland,Warsaw,52.236178,21.0125622,166030000000.19,364000000000
21,Bank Indonesia,Indonesia,Jakarta,-6.5395042,106.6477755,144907000000.81,415000000000
22,Central Bank of the UAE,United Arab Emirates,Abu Dhabi,24.7812193,53.9307972,131116000000.71,220000000000
23,Bank Negara Malaysia,Malaysia,Kuala Lumpur,3.1402622,101.6758343,116915000000.87,228000000000